,Coefficients
has_pool,28392.704296653646
exter_qual,16478.871747027017
overall_qual,10544.584976405453
kitchen_qual,8715.721577133278
functional,6867.304950401264
bsmt_qual,4978.4161690625715
garage_qual,4522.652360031056
overall_cond,4517.557339677187
bsmt_exposure,3241.4439453860955
fireplaces,3194.934110857585
totrms_abvgrd,2379.2253761378015
garage_cars,2049.619769268436
half_bath,1665.0656819212438
heating_qc,983.0926315415749
garage_finish,932.3774886747954
fireplace_qu,725.8085048409916
fence,292.9750563338383
lot_frontage,60.94488132950056
gr_liv_area,34.733547501584326
mas_vnr_area,33.124421461206566
screen_porch,31.464343208847936
sold_in_crisis,25.880407351386726
garage_area,21.858752295313877
1st_flr_sf,18.048173959861288
pool_area,17.755080564094328
2nd_flr_sf,16.80562320889385
total_bsmt_sf,15.397048150951377
wood_deck_sf,13.964062265881466
bsmtfin_sf_1,13.933485852370836
bsmnt_fin_sf,12.836957567026275
enclosed_porch,9.17794836953152
bsmt_unf_sf,2.560090580600445
lot_area,0.9772594491769802
3ssn_porch,0.9249144201662887
low_qual_fin_sf,-0.12024967381393026
bsmtfin_sf_2,-1.0965282919858055
misc_val,-1.563244046102227
open_porch_sf,-7.904640797055038
ms_subclass,-91.6093336582427
bsmtfin_type_2,-97.61047583323524
year_built,-145.70646187361112
year_remod/add,-226.63972325809735
paved_drive,-263.25346408013854
age_since_remod,-294.40252343052543
bsmt_full_bath,-315.4377595995664
age_at_sale,-375.3357848207771
bsmtfin_type_1,-415.7517924368847
land_slope,-509.65059443386554
yr_sold,-521.0422466907722
lot_shape,-844.3853475087037
exter_cond,-1424.2582489502645
full_bath,-1839.7458079821013
electrical,-2475.809872383527
has_wood_deck,-3992.6557974386315
bsmt_half_bath,-4893.669579181839
bedroom_abvgr,-5648.264457889896
central_air,-5914.582388940405
garage_cond,-8343.869710911176
bsmt_cond,-10025.410426885648
kitchen_abvgr,-13302.695696506644
